,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
300,Port Hedland,-20.32,118.57,77.0,20,24,6.93,AU,1598832295
301,Tuktoyaktuk,69.45,-133.04,46.4,75,75,17.22,CA,1598832220
302,Velyka Bahachka,49.79,33.72,67.19,43,0,6.96,UA,1598832474
303,Abu Kamal,34.45,40.92,83.98,14,0,10.8,SY,1598832475
304,Cluses,46.06,6.58,55.0,93,90,4.7,FR,1598832475
305,Esim,4.87,-2.24,74.21,88,100,6.96,GH,1598832475
306,Port-Cartier,50.03,-66.87,51.8,76,90,5.82,CA,1598832476
307,Jalu,29.03,21.55,81.36,37,0,7.07,LY,1598832476
308,Ayagoz,47.97,80.44,56.5,61,0,10.13,KZ,1598832476
309,Longyearbyen,78.22,15.64,39.2,80,75,2.24,SJ,1598832055
310,Poya,-21.35,165.15,74.07,48,4,6.8,NC,1598832477
311,Narrabri,-30.32,149.78,66.2,48,0,17.22,AU,1598832478
312,Porto Murtinho,-21.7,-57.88,77.27,66,100,8.7,BR,1598832478
313,Bandundu Province,-3.32,17.37,78.76,73,93,3.18,CD,1598832215
314,Stânceni,46.98,25.23,61.18,61,0,0.92,RO,1598832478
315,Necochea,-38.55,-58.74,37.99,80,0,1.99,AR,1598832478
316,Sabang,5.89,95.32,83.05,75,94,13.78,ID,1598832479
317,Inhambane,-23.86,35.38,70.16,84,95,15.95,MZ,1598832206
318,Poltava,49.59,34.54,66.38,43,0,5.5,UA,1598832479
319,Bengkulu,-3.8,102.27,76.77,81,100,3.51,ID,1598832232
320,Abrau-Dyurso,44.69,37.59,71.6,40,0,13.42,RU,1598832480
321,Micheweni,-4.97,39.83,74.53,82,89,9.46,TZ,1598832480
322,Tazovsky,67.47,78.7,40.35,91,1,5.23,RU,1598832480
323,San Policarpo,12.18,125.51,82.06,81,97,6.6,PH,1598832219
324,‘Āhuimanu,21.44,-157.84,89.6,62,40,17.22,US,1598832481
325,Orahovac,42.4,20.65,68.0,77,0,1.12,XK,1598832481
326,Matara,5.95,80.54,78.94,86,84,9.64,LK,1598832449
327,Cidreira,-30.18,-50.21,55.85,89,100,10.07,BR,1598832234
328,Vanimo,-2.67,141.3,84.31,66,97,4.18,PG,1598832232
329,Morant Bay,17.88,-76.41,84.0,88,40,13.87,JM,1598832482
330,Umluj,25.02,37.27,85.77,49,20,11.63,SA,1598832261
331,Sittwe,20.15,92.9,80.65,87,100,3.36,MM,1598832235
332,Dicabisagan,17.08,122.42,82.6,74,79,3.49,PH,1598832482
333,Vila Franca do Campo,37.72,-25.43,73.4,88,20,2.8,PT,1598832226
334,Puerto Escondido,15.85,-97.07,84.2,54,40,1.66,MX,1598832474
335,Boa Vista,2.82,-60.67,77.0,88,75,3.36,BR,1598832258
336,Teya,60.38,92.63,50.56,87,64,2.19,RU,1598832484
337,Vila Velha,-20.33,-40.29,77.0,94,1,5.82,BR,1598832269
338,Saint-Augustin,51.23,-58.65,52.48,75,73,21.99,CA,1598832485
339,Namatanai,-3.67,152.43,85.15,69,41,9.62,PG,1598832214
340,Nexø,55.06,15.13,60.8,87,1,3.36,DK,1598832485
341,Muravlenko,63.79,74.52,51.49,75,98,17.69,RU,1598832486
342,Popondetta,-8.75,148.25,90.81,49,98,1.99,PG,1598832294
343,Xique-Xique,-10.82,-42.73,79.99,49,24,16.96,BR,1598832486
344,Fengcheng,40.45,124.07,75.0,83,87,3.74,CN,1598832486
345,Gizo Government Station,-8.1,156.84,84.78,74,88,6.6,SB,1598832487
346,Ostrovnoy,68.05,39.51,44.62,86,19,8.37,RU,1598832487
347,Kokkola,63.84,23.13,57.0,100,75,2.24,FI,1598832487
348,Lagos,6.58,3.75,75.51,87,100,6.24,NG,1598832442
349,Christchurch,-43.53,172.63,64.4,42,86,4.7,NZ,1598832258
350,Muş Province,39.0,41.75,66.81,39,0,5.64,TR,1598832454
351,Sola,-13.88,167.55,79.66,83,97,20.33,VU,1598832488
352,San Felipe,10.34,-68.74,72.28,90,88,0.6,VE,1598832488
353,Manavālakurichi,8.13,77.3,80.6,88,20,5.82,IN,1598832489
354,Provincia di Taranto,40.62,17.25,79.0,100,75,6.93,IT,1598832489
355,Pahrump,36.21,-115.98,99.0,4,0,4.0,US,1598832321
356,Palembang,-2.92,104.75,75.2,94,40,6.2,ID,1598832358
357,Sharjah city,25.36,55.4,95.0,18,20,2.24,AE,1598832489
358,Coolum Beach,-26.53,153.1,73.0,56,0,1.01,AU,1598832490
359,Kilindoni,-7.91,39.67,76.32,75,33,12.55,TZ,1598832490
360,High Rock,26.62,-78.28,84.83,71,100,6.4,BS,1598832490
361,Whitehorse,60.72,-135.05,53.01,81,75,14.99,CA,1598832490
362,Takapau,-40.03,176.35,57.99,88,2,8.99,NZ,1598832431
363,Verkhnyaya Inta,65.98,60.31,49.96,89,100,6.76,RU,1598832491
364,Itarema,-2.92,-39.92,78.53,75,0,17.2,BR,1598832491
365,Sitka,57.05,-135.33,55.4,93,90,4.7,US,1598832206
366,Taunggyi,20.78,97.03,65.05,100,100,2.66,MM,1598832491
367,Tougan,13.07,-3.07,74.98,90,54,9.04,BF,1598832492
368,Amoy,24.48,118.08,86.0,74,3,2.24,CN,1598832410
